iter	Passed	Remaining
0	95	95780
1	195	97653
2	301	100103
3	390	97201
4	484	96450
5	579	96030
6	669	94930
7	759	94124
8	849	93552
9	939	92971
10	1028	92507
11	1118	92080
12	1213	92124
13	1313	92486
14	1414	92914
15	1515	93220
16	1616	93446
17	1716	93639
18	1806	93298
19	1901	93181
20	1991	92837
21	2091	92963
22	2185	92839
23	2279	92718
24	2375	92638
25	2465	92348
26	2559	92252
27	2649	91972
28	2743	91875
29	2839	91800
30	2934	91723
31	3033	91752
32	3135	91880
33	3237	91992
34	3341	92125
35	3443	92212
36	3547	92334
37	3648	92359
38	3753	92478
39	3829	91914
40	3934	92036
41	4035	92041
42	4145	92257
43	4243	92209
44	4345	92221
45	4441	92107
46	4552	92312
47	4648	92193
48	4749	92183
49	4839	91953
50	4931	91760
51	5025	91622
52	5115	91410
53	5205	91184
54	5299	91054
55	5389	90849
56	5484	90727
57	5573	90522
58	5668	90401
59	5757	90203
60	5857	90160
61	5946	89963
62	6035	89769
63	6125	89592
64	6220	89479
65	6315	89370
66	6404	89182
67	6496	89034
68	6585	88855
69	6674	88677
70	6763	88500
71	6853	88329
72	6942	88162
73	7032	87997
74	7126	87898
75	7216	87736
76	7305	87575
77	7405	87538
78	7500	87439
79	7594	87335
80	7684	87181
81	7774	87037
82	7868	86937
83	7968	86889
84	8059	86753
85	8148	86603
86	8237	86451
87	8338	86412
88	8432	86313
89	8527	86219
90	8621	86124
91	8716	86029
92	8816	85985
93	8905	85837
94	8994	85688
95	9089	85591
96	9185	85512
97	9280	85416
98	9369	85270
99	9458	85128
100	9548	84991
101	9647	84932
102	9743	84849
103	9838	84758
104	9928	84632
105	10018	84496
106	10110	84377
107	10199	84242
108	10289	84105
109	10383	84013
110	10481	83945
111	10581	83897
112	10670	83761
113	10762	83643
114	10864	83610
115	10964	83560
116	11054	83431
117	11144	83303
118	11225	83106
119	11317	82996
120	11413	82914
121	11508	82825
122	11600	82710
123	11695	82624
124	11790	82536
125	11828	82051
126	11928	81999
127	12021	81897
128	12121	81843
129	12216	81753
130	12315	81695
131	12405	81573
132	12494	81447
133	12583	81325
134	12673	81203
135	12762	81080
136	12852	80959
137	12941	80840
138	13031	80718
139	13120	80598
140	13210	80477
141	13299	80359
142	13394	80275
143	13484	80158
144	13574	80042
145	13668	79953
146	13763	79867
147	13852	79746
148	13942	79630
149	14037	79543
150	14131	79456
151	14225	79365
152	14321	79284
153	14416	79195
154	14516	79137
155	14605	79020
156	14700	78931
157	14799	78870
158	14894	78781
159	14988	78691
160	15088	78628
161	15177	78512
162	15267	78396
163	15369	78345
164	15464	78259
165	15564	78195
166	15658	78103
167	15747	77986
168	15836	77871
169	15931	77782
170	16031	77720
171	16126	77630
172	16221	77542
173	16310	77429
174	16400	77315
175	16494	77223
176	16583	77108
177	16678	77019
178	16773	76932
179	16868	76844
180	16962	76754
181	17052	76641
182	17142	76530
183	17236	76438
184	17330	76348
185	17425	76260
186	17520	76170
187	17614	76080
188	17710	75996
189	17805	75907
190	17900	75817
191	17994	75726
192	18094	75659
193	18189	75570
194	18278	75459
195	18373	75368
196	18473	75299
197	18567	75208
198	18656	75096
199	18756	75027
200	18846	74916
201	18940	74825
202	19030	74714
203	19132	74655
204	19249	74648
205	19353	74594
206	19457	74541
207	19562	74488
208	19667	74435
209	19774	74391
210	19880	74341
211	19983	74277
212	20082	74202
213	20188	74149
214	20290	74083
215	20392	74018
216	20493	73945
217	20578	73819
218	20674	73728
219	20768	73634
220	20864	73546
221	20957	73444
222	21057	73370
223	21146	73257
224	21240	73163
225	21340	73087
226	21430	72976
227	21525	72883
228	21620	72790
229	21714	72696
230	21809	72602
231	21898	72492
232	21997	72413
233	22093	72323
234	22182	72212
235	22277	72117
236	22371	72024
237	22466	71930
238	22556	71821
239	22645	71710
240	22735	71601
241	22829	71507
242	22918	71397
243	23013	71303
244	23104	71200
245	23204	71121
246	23298	71027
247	23392	70933
248	23482	70824
249	23576	70730
250	23676	70652
251	23766	70543
252	23855	70433
253	23944	70325
254	24034	70217
255	24128	70123
256	24228	70046
257	24318	69938
258	24412	69844
259	24502	69737
260	24596	69642
261	24690	69549
262	24785	69455
263	24879	69360
264	24979	69282
265	25073	69189
266	25167	69094
267	25257	68986
268	25347	68880
269	25447	68802
270	25536	68695
271	25631	68601
272	25721	68495
273	25811	68390
274	25905	68297
275	26000	68203
276	26089	68096
277	26179	67990
278	26278	67910
279	26368	67804
280	26458	67698
281	26547	67592
282	26636	67485
283	26736	67404
284	26825	67298
285	26915	67194
286	27009	67101
287	27104	67007
288	27193	66900
289	27282	66794
290	27375	66698
291	27470	66606
292	27570	66526
293	27665	66433
294	27760	66341
295	27851	66240
296	27940	66135
297	28029	66030
298	28129	65949
299	28229	65868
300	28324	65777
301	28414	65673
302	28509	65581
303	28624	65535
304	28724	65453
305	28813	65347
306	28913	65266
307	29006	65171
308	29097	65068
309	29191	64975
310	29286	64882
311	29375	64777
312	29470	64684
313	29560	64582
314	29660	64500
315	29761	64421
316	29849	64313
317	29944	64221
318	30041	64131
319	30135	64037
320	30224	63933
321	30315	63832
322	30411	63741
323	30506	63648
324	30548	63447
325	30641	63350
326	30730	63246
327	30819	63142
328	30914	63049
329	31003	62946
330	31093	62843
331	31181	62739
332	31271	62637
333	31367	62547
334	31462	62456
335	31557	62364
336	31653	62273
337	31748	62181
338	31842	62088
339	31937	61995
340	32027	61894
341	32121	61801
342	32216	61709
343	32306	61608
344	32391	61496
345	32481	61394
346	32570	61293
347	32668	61207
348	32763	61114
349	32863	61031
350	32957	60939
351	33052	60847
352	33147	60754
353	33242	60662
354	33341	60578
355	33431	60476
356	33526	60384
357	33613	60278
358	33702	60176
359	33805	60099
360	33900	60006
361	33995	59914
362	34090	59822
363	34179	59720
364	34268	59617
365	34357	59516
366	34452	59423
367	34546	59330
368	34642	59239
369	34731	59137
370	34820	59036
371	34910	58935
372	35000	58833
373	35090	58734
374	35189	58648
375	35289	58566
376	35385	58475
377	35486	58393
378	35587	58311
379	35689	58230
380	35785	58139
381	35888	58060
382	35982	57967
383	36103	57916
384	36204	57833
385	36305	57750
386	36420	57689
387	36516	57598
388	36605	57496
389	36695	57395
390	36784	57293
391	36878	57199
392	36974	57107
393	37068	57014
394	37158	56913
395	37247	56812
396	37337	56712
397	37437	56627
398	37526	56525
399	37616	56424
400	37705	56323
401	37795	56222
402	37884	56121
403	37991	56046
404	38081	55946
405	38175	55852
406	38270	55759
407	38359	55658
408	38448	55557
409	38544	55467
410	38640	55375
411	38739	55288
412	38828	55187
413	38927	55100
414	39025	55011
415	39123	54922
416	39226	54841
417	39305	54726
418	39405	54641
419	39494	54540
420	39589	54447
421	39688	54360
422	39778	54260
423	39877	54173
424	39983	54095
425	40079	54003
426	40173	53909
427	40271	53820
428	40365	53727
429	40461	53634
430	40550	53534
431	40644	53440
432	40734	53340
433	40824	53241
434	40919	53148
435	41010	53050
436	41105	52957
437	41205	52871
438	41295	52771
439	41384	52671
440	41479	52578
441	41575	52486
442	41665	52387
443	41759	52293
444	41848	52193
445	41937	52092
446	42026	51993
447	42116	51893
448	42205	51793
449	42299	51699
450	42399	51613
451	42494	51519
452	42584	51420
453	42673	51321
454	42763	51221
455	42851	51121
456	42946	51028
457	43046	50941
458	43140	50847
459	43230	50748
460	43328	50659
461	43438	50584
462	43528	50485
463	43628	50397
464	43717	50299
465	43807	50199
466	43901	50106
467	43996	50013
468	44086	49914
469	44175	49815
470	44269	49721
471	44364	49628
472	44453	49528
473	44543	49430
474	44638	49336
